Location,Country,Year,Month,Weekday,Operator,Route,Type,Total_Aboard,Total_Fatalities,Ground,Total_Survivors,Total_Deaths,Total_Involved,Summary
"Nalchik, Russia",Russia,1994,Feb,Thursday,North Western Air Transport,Volgograd - Nalchik,Antonov AN-12V,13.0,13.0,0.0,0.0,13.0,13.0,"While on approach the nose pitched up, the aircraft stalled and crashed short of the runway. Icing of the horizontal stabilizer."
"East Midlands, England",England,1994,Feb,Friday,British World Airways,Edinburgh - Coventry,Vickers 813 Viscount,2.0,1.0,0.0,1.0,1.0,2.0,"The cargo plane struck trees and high terrain after losing three engines during severe icing. Multiple engine failures occurred as a result of flight in extreme icing conditions. Incomplete performance of the emergency drills by the crew, as a result of not referring to the Emergency Checklist, prejudiced the chances of successful engine re-starts. Crew actions for securing and re-starting the failed engines, which were not in accordance with the operator's procedures, limited the power available. The drag from two unfeathered propellers of the failed engines and the weight of the heavily iced airframe resulted in a loss of height and control before the chosen diversion airfield could be reached. Poor Crew Resource Management reduced the potential for emergency planning, decision making and workload sharing. Consequently, the crew had no contingency plan for the avoidance of the forecast severe icing conditions, and also was unaware of the relative position of a closer diversion airfield which could have been chosen by making more effective use of air traffic services."
"Near Carpish, Peru",Peru,1994,Feb,Friday,Expresso Aéreo,Jananjui - Tocache - Tingo Maria - Lima,Yakovlev YAK-40,31.0,31.0,0.0,0.0,31.0,31.0,"The plane struck Cerro Carpich at 4,000 ft., 6 minutes after leaving the airport at Tingo Maria."
"New York, New York",USA,1994,Mar,Wednesday,Continental Airlines,New York City - Denver,McDonnell Douglas MD-82,116.0,0.0,0.0,116.0,0.0,116.0,"The aircraft overran the runway and came to rest at the edge of the east river, after an aborted takeoff. Failure to turn on the pilot/static heat system resulting in erroneous air speed indication. Though heavily damaged, the plane was repaired and put back into service."
"New Delhi, India",India,1994,Mar,Tuesday,Sahara,Training,Boeing 737-2R4C,4.0,4.0,0.0,0.0,4.0,4.0,Crashed during touch-and-go exercises. Application of wrong rudder by trainee pilot  during engine failure exercise. Captain did not guard/block the rudder control and give clear commands as instructor so as to obviate the application of wrong rudder control by the trainee pilot.
"Off Malindi, Kenya",Kenya,1994,Mar,Monday,Military - U.S. Air Force,Mombasa - Mogadishu,Lockheed C-130H Hercules,8.0,8.0,0.0,0.0,8.0,8.0,Crashed into sea after a shell exploded in one of the gun barrells.
Near Nag,No Data,1994,Mar,Thursday,Military - Iranian Air Force,Tehran - Moscow,Lockheed Hercules C-130,32.0,32.0,0.0,0.0,32.0,32.0,Shot down with a missile by Armenian forces while en route.
"Key West, Florida",USA,1994,Mar,Friday,Chalk's International Airlines,Key West Harbor - Key West,Grumman G-73T Turbo Mallard,2.0,2.0,0.0,0.0,2.0,2.0,"After discharging passengers the sea plane took off, the nose pitched up and crashed. Failure of the pilot-in-command to assure the bilges were adequately pumped free of water, which resulted in the aft center of gravity limit to be exceeded, and failure of the aircrew to follow the checklist. A factor related to the accident was the water leak."
"Spokane, Washington",USA,1994,Mar,Friday,Salair,Spokane - Portland,Douglas DC-3C,2.0,2.0,0.0,0.0,2.0,2.0,"The cargo plane lost a right engine during takeoff. The plane tried to return to the airport but crashed. The failure of the pilot-in-command to maintain airspeed. Factors to the accident were: cylinder fatigue, dark night and stall encountered."
"Weipa, Australia",Australia,1994,Mar,Monday,Aurukun Air Services,Weipa - Aurukun,Britten-Norman BN-2A-21 Trislander,6.0,6.0,0.0,0.0,6.0,6.0,"Lost an engine while taking off and then lost a second engine and crashed 1,300 ft. beyond the runway."
"Near Mezhdurechensk, Russia",Russia,1994,Mar,Wednesday,Aeroflot Russian International Airways,Moscow - Hong Kong,Airbus A310-304,75.0,75.0,0.0,0.0,75.0,75.0,"The aircraft crashed after a captain allowed his child to manipulate the controls of the plane. The pilot's 11 year old daughter and 16 year old son were taking turns in the pilot's seat. While the boy was flying, he inadvertently disengaged the autopilot linkage to the ailerons and put the airliner in a bank of 90 degrees which caused the nose to drop sharply. The co-pilot pulled back on the yoke to obtain level flight but the plane stalled. With his seat pulled all the way back, the co-pilot in the right hand seat could not properly control the aircraft. After several stalls and rapid pull-ups the plane went into a spiral descent. In the end the co-pilot initiated a 4.8g pull-up and nearly regained a stable flight path but the aircraft struck the ground in an almost level attitude killing all aboard. The aircraft was named Glinka, after Mikhail Glinka, the father of Russian music."
"Lamoille, Nevada",USA,1994,Apr,Sunday,Air Taxi - El Aero Services Inc.,No Data,Bell 206B3,5.0,5.0,0.0,0.0,5.0,5.0,"The helicopter crashed shortly after takeoff. The ingestion of foreign material (snow) in the engine, which resulted in a flameout (loss of engine power). Factors related to the accident were: the adverse weather conditions (snow falling & high density altitude), the lack of snow covers to protect the engine intakes while parked and awaiting for the weather conditions to improve, improper planning/decision by the pilot and the company/operator management, inadequate information in the flight manual, and the lack of suitable terrain for an emergency landing."
"Amsterdam, Netherlands",Netherlands,1994,Apr,Monday,KLM Cityhopper,Amsterdam - Cardiff,Saab 340B,24.0,3.0,0.0,21.0,3.0,24.0,"Shortly after taking off, due to a false warning light, the captain idled one engine (contrary to the checklist) and  assumed they had an engine problem and returned to the airport. While attempting to land, the aircraft rolled to the right, pitched up, stalled and crashed. Inadequate use of the flight controls during an asymmetric go-around resulting in loss of control. Contributing factors were insufficient understanding of the flightcrew of the SAAB 340B engine oil system, lack of awareness of the consequences of an aircraft configuration with one engine in flight idle and poor crew resource management."
"Kigali, Rwanda",Rwanda,1994,Apr,Wednesday,Rwanda Government,"Tanzania - Kigali, Rwanda",Dassault Falcon 50,12.0,12.0,0.0,0.0,12.0,12.0,"Shot down by a missile. President of Burundi, Cyprien Ntaryamira and president of Rwanda, Juvenal Habyarimana were killed."
"Ambato, Ecuador",Ecuador,1994,Apr,Wednesday,TAME,Taura - Latacunga,de Havilland Canada DHC-6 Twin Otter 300,17.0,17.0,0.0,0.0,17.0,17.0,"Struck Mt. Lozan, at 13,400 ft. which was obscured by clouds 47 minutes after taking off. Controlled flight into terrain."
Northern Iraq,No Data,1994,Apr,Thursday,Military - U.S. Army / Military U.S. Army,No Data,Sikorsky UH-60 / Sikorsky UH-60,26.0,26.0,0.0,0.0,26.0,26.0,Shot down by friendly fire during the Gulf War. Thirteen killed on each helicopter.
"Nanga Pinoh, Indonesia",Indonesia,1994,Apr,Monday,Dirgantara Air Services,Pontianak - Nanga Pinoh,Britten Norman BN-2A-21 Trislander,11.0,11.0,0.0,0.0,11.0,11.0,Crashed into Mt. Saran 30 minutes before it was scheduled to land in poor weather condtions.
"Near Komaki, Aichi, Japan",No Data,1994,Apr,Tuesday,China Airlines (Taiwan),Taipei - Nagoya,Airbus A300B4-622R,271.0,264.0,0.0,7.0,264.0,271.0,"While on ILS approach to Nagoya Airport, at an altitude of 1,000 feet, the first officer inadvertently triggered the TOGA (take-off-go-around) lever. The crew tried to override this situation by turning off the autothrottle and reducing air speed. The aircraft stalled, hit the runway tail first and burst into flames. The plane crashed because of an extreme out of trim configuration brought about by the fact that the tailplane setting had moved automatically and undetected to a maximum nose-up position. The plane climbed at a steep angle until it stalled. The crew could have saved the aircraft even in the final seconds had they reverted to basic flight procedures and switched off the autopilot."
"Sao Gabriel, Brazil",Brazil,1994,May,Saturday,Rico Taxi Aero,Sao Paulo - Sao Gabriel,Embraer 110 Bandeirante,16.0,8.0,0.0,8.0,8.0,16.0,The aircraft was destroyed when it undershot the runway during a visual approach to Sao Gabriel and stuck trees.
"Loma Linda, Colombia",Colombia,1994,May,Monday,Arall,San Jose - Villavicencio,Pilatus Britten-Norman BN-2B-27 Islander,11.0,4.0,0.0,7.0,4.0,11.0,Crashed while making an emergency landing following engine trouble.
"Near Villavicencio, Colombia",Colombia,1994,May,Saturday,Transoriente Colombia,Villavicencio - La Primavera - Puerto Carreno,Douglas DC-3 (C-53D-DO),29.0,7.0,0.0,22.0,7.0,29.0,Crashed shortly after taking off after double engine failure.
"Near Campbeltown, Scotland",Scotland,1994,Jun,Thursday,Military - Royal Air Force,Aldergrove AB - Fort George,Boeing Vertol Chinook HC-2 (helicopter),29.0,29.0,0.0,0.0,29.0,29.0,The helicopter crashed into The Mountain of the Stone Slab at an elevation of 800 ft. Pilot error in proceeding towards high ground in heavy fog below a safe altitude.
"Near Xi'an, China",China,1994,Jun,Monday,China Northwest Airlines,Xian - Guangzhou,Tupolev TU-154M,160.0,160.0,0.0,0.0,160.0,160.0,The plane broke-up in flight 10 minutes after taking off. Auto-pilot induced oscillations caused the aircraft to shake violently. The autopilot yaw-channel was accidentally connected to the bank control and the bank-channel to the yaw controls.
"Near Uruapan, Mexico",Mexico,1994,Jun,Monday,Aerolineas Cuahonte,Lazaro - Cardenas - Michoacan,Swearingen SA.226TC Metro II,9.0,9.0,0.0,0.0,9.0,9.0,The aircraft flew into high ground during a go-around. The accident happened in darkness and in poor weather with rain and heavy clouds. The accident was attributed to the pilot's failure to follow the established go-around procedure correctly.
"Mt.  Kalora, Indonesia",Indonesia,1994,Jun,Saturday,Merpati Nusantara Airlines,Balikpapan - Palu,Fokker F-27 Friendship 500F,12.0,12.0,0.0,0.0,12.0,12.0,"The aircraft struck Mt. Kalora at 2,300 feet while on a visual approach to Palu. The accident happened in generally good weather but with reduced visibility in clouds and haze at the mountain."
"Chantilly, Virginia",USA,1994,Jun,Saturday,TAESA,Mexico City - Washington D.C.,Learjet 25D,12.0,12.0,0.0,0.0,12.0,12.0,The aircraft crashed in poor weather conditions 0.8 nm south of the threshold of runway 1R at Dulles International Airport while attempting a ILS landing. Poor airmanship and relative inexperience of the captain in initiating and continuing an unstabilized instrument approach that led to a descent below the authorized altitude without visual contact with the runway environment. Contributing to the cause of the accident was the lack of a GPWS on the airplane.
"Abidjan, Ivory Coast",Ivory Coast,1994,Jun,Sunday,Air Ivorie,San Pedro - Abidjan,Fokker F-27 Friendship 400M,17.0,17.0,0.0,0.0,17.0,17.0,Crashed on approach 3 miles short of the runway into a wooded area with flaps and landing gear still retracted.
"Near Logar, Afghanistan",Afghanistan,1994,Jun,Wednesday,Military - Dostum-Galboddin Militia,No Data,Antonov AN-32,70.0,50.0,0.0,20.0,50.0,70.0,Shot down by Afghan troops.
"Toulouse-Blagnac, France",France,1994,Jun,Thursday,Airbus Industrie,Toulouse - Toulouse,Airbus A330-321,7.0,7.0,0.0,0.0,7.0,7.0,"The plane crashed after demonstrating a simulated engine failure on takeoff. Caused by a number of factors relating to the test and actions of the crew none of which singley would have caused the crash. Unexpected mode transition to altitude acquire mode during a simulated  engine failure resulted in excessive pitch, loss of airspeed, and loss of control. Pitch attitude protection not provided in altitude acquire mode."
"Near Tidjika, Mauritania",Mauritania,1994,Jul,Friday,Air Mauritanie,Nouakchott - Tidjikja,Fokker F-28 Fellowship 4000,93.0,80.0,0.0,13.0,80.0,93.0,"The plane crash landed on the runway in adverse weather, after a second landing attempt, breaking the landing gear and sliding off the side of the runway."
"Charlotte, North Carolina",USA,1994,Jul,Saturday,USAir,"Columbia, SC - Charlotte, NC",McDonnell Douglas DC-9-30,57.0,37.0,0.0,20.0,37.0,57.0,The aircraft crashed into trees and a private residence after a  missed approach during adverse weather conditions. Microburst induced windshear. Crew's inability to recognize windshear and microburst conditions.  The flightcrew's decision to continue an approach into severe convective activity that was conducive to a microburst. The flightcrew's failure to recognize a windshear situation in a timely manner. The flightcrew's failure to establish and maintain the proper airplane attitude and thrust setting necessary to escape the windshear. The lack of real-time adverse weather and windshear hazard information dissemination from air traffic control.
"Hanalei, Hawaii",USA,1994,Jul,Thursday,Air Taxi - Papillion Helicopters Ltd.,"Lihue, HI - Lihue, HI",Aerospatiale AS350D,7.0,3.0,0.0,4.0,3.0,7.0,"The helicopter crashed into the water. All survived but were not equipped with life vests and 3 passengers drowned. Failure of the engine-driven fuel pump, which resulted in the loss of power, and the lack of aircraft flotation equipment. Factors related to the accident were: flight over water adjacent to terrain that afforded no suitable forced landing site, and the lack of a passenger briefing by the operator on the location and operation of life preservers"
"Near Fort de France, Martinique",No Data,1994,Jul,Sunday,Air Martinique,Bridgetown - Fort de France,Britten-Norman BN-2B-26 Islander,6.0,6.0,0.0,0.0,6.0,6.0,Crashed into high ground while on approach to land.
"Boma, Democratic Republic Congo",Democratic Republic Congo,1994,Jul,Sunday,Sankuru Air Service,Training,Yakovlev 40D,9.0,5.0,0.0,4.0,5.0,9.0,Ran off the end of the runway and crashed. The crew used the normal and emergency brake systems at the same time which resulted in the aircraft having no brakes at all.
"Colon, Panama",Panama,1994,Jul,Tuesday,Alas Chiricanas,Colon - Panama City,Embraer 110P1 Bandeirante,21.0,21.0,0.0,0.0,21.0,21.0,Crashed on a wooded hillside shortly after taking off from Colon after a bomb exploded aboard.
"East Kalimantan, Indonesia",Indonesia,1994,Jul,Tuesday,Airfast Services,Kilo Lima - Kelawit,Sikorsky S-58ET,18.0,18.0,0.0,0.0,18.0,18.0,The helicopter crashed 5 minutes after taking off from Kilo Lima.
"Near Boda, Russia",Russia,1994,Aug,Friday,Military - Russian Air Force,Dzhida - Boda,Antonov AN-12,47.0,47.0,0.0,0.0,47.0,47.0,Crashed and burned while attempting to land with an engine fire in poor visibility and heavy rain.
"Kodiak, Alaska",USA,1994,Aug,Sunday,Air Taxi - Uyak Air Services Inc.,Sightseeing,de Havilland DHC-2,7.0,6.0,0.0,1.0,6.0,7.0,Continued VFR flight into IMC.
"Cheju, South Korea",South Korea,1994,Aug,Wednesday,Korean Airlines,Seoul - Cheju,Airbus A300B4-622R,160.0,0.0,0.0,160.0,0.0,160.0,The aircraft overran the runway and caught fire while landing during adverse weather conditions.  The approach was flown with slats/flaps at 15/20 degrees due to suspected windshear. Crew error. There was a struggle and argument between the captain and co-pilot during the last seconds of the landing as to whether they should go-around.
"Alsworth, Alaska",USA,1994,Aug,Thursday,Air Taxi - Talon Air Services Inc.,"Caribou Lake, AK - Nikiski, AK",de Havilland DHC-2,3.0,3.0,0.0,0.0,3.0,3.0,The pilot flew into a blind box canyon and crashed while attempting to turn around. Improper in-flight planning /decision by the pilot and his failure to remain clear of mountainous terrain. The box canyon and proximity of mountains were related factors.
"Whiting, New Jersey",USA,1994,Aug,Friday,Air Taxi - National Helicopters,"New York, NY - Atlantic City, NJ",Bell 206L-4,3.0,3.0,0.0,0.0,3.0,3.0,The non-instrument rated commercial pilot was en route at 2000 feet msl on a night VFR flight when he reported an inadvertent encounter with instrument meteorological conditions. The helicopter (N124NH) subsequently crashed in a wooded area while in a steep descent. Continued VFR flight into IMC.
"Near Agadir, Morocco",Morocco,1994,Aug,Sunday,Royal Air Maroc,Agadir - Casablanca,Aerospatiale ATR-42-300,44.0,44.0,0.0,0.0,44.0,44.0,"The aircraft entered a steep dive from 16,000 ft. and crashed 10 minutes after taking off from Agadir. The pilot was blamed for disconnecting the autopilot and deliberately causing the crash and committing suicide. This was challenged by the Moroccan Pilot's Union."
"Near Aliquippa, Pennsylvania",USA,1994,Sep,Thursday,USAir,Chicago - Pittsburgh,Boeing B-737-3B7,132.0,132.0,0.0,0.0,132.0,132.0,"While on approach, the aircraft went into a sudden nose dive from 6,000 ft. and crashed into a wooded ravine 6 miles northwest of Pittsburgh International Airport. The accident was caused by a loss of control of the aircraft resulting from the movement of the rudder surface to its blowdown limit or an uncommanded rudder reversal. The rudder surface deflected in a direction opposite to that commanded by the pilots as a result of a jam of the main rudder PCU servo valve secondary slide to the servo valve housing offset from its neutral position and overtravel of the  primary slide. The most likely sequence of events that led up to the accident included the jamming of the PCU servo valve, the application of light left rudder followed by hard right rudder which caused the rudder to reverse in the opposite direction the pilot commanded it to go.  The application of hard right rudder was possibly initiated because the plane flew into the wake vortex of a B-727 which rolled the plane to the left.  Rudder hardover is normally corrected with the stick (ailerons) but because the plane was flying at the crossover speed of 190 knots with flaps 1, using the stick would not correct the situation. When the right rudder was applied the rudder went to its fullblown left position causing the plane to roll further left, stall and go into a dive. Some speculate if the pilot-in-command pushed forward on the yoke to gain some speed rather than pull back, the accident possibly could have been avoided. Blame was not placed on the crew because there was no mention of this type of recovery by the manufacturer nor was there any training for such an occurrence."
"Near Abuja, Nigeria",Nigeria,1994,Sep,Tuesday,Aerocontroctors - Charter,Lagos - Abuja,de Havilland Canada DHC-6 Twin Otter 300,5.0,3.0,0.0,2.0,3.0,5.0,"The aircraft few into the side of a hill during heavy rain, high winds and severe turbulence."
"Fish Egg Inlet, Canada",Canada,1994,Sep,Saturday,Pacific Coastal Airlines,Fish Egg Inlet - Pruth Bay,de Havilland Canada DHC-6 Twin Otter 100,4.0,3.0,0.0,1.0,3.0,4.0,Just as the plane took off there was a pitch-up and stall resulting in the plane crashing into the water. The down elevator control cable failed at station 367 due to corrosion. The failure resulted from salt water induced corrosion. The aircraft had recently undergone a periodic inspection but the damage had apparently not been discovered.
"Tamanrasset, Algeria",Algeria,1994,Sep,Sunday,Oriental Airlines,Tunis - Tamanrasset,BAC One-Eleven 515FB,39.0,5.0,0.0,34.0,5.0,39.0,"After circling for almost an hour and a half and aborting four landing attempts in adverse weather conditions, the aircraft ran out of fuel and crashed."
"Kowloon Bay, Hong Kong",Hong Kong,1994,Sep,Friday,Heavylift Cargo Airlines,Hong Kong - Jakarta,Lockheed L-100-30 Hercules,12.0,6.0,0.0,6.0,6.0,12.0,"The cargo plane lost control shortly after becoming airborne, began losing altitude and ditched 500 meters from the runway. The No. 4 prop pitch control system failed."
"Near Vanavera, Russia",Russia,1994,Sep,Monday,Cheremshanka Airlines,Krasnoyarsk - Tura,Yakovlev YAK-40,28.0,28.0,0.0,0.0,28.0,28.0,"After three landing attempts at Tura, the crew diverted to Vanavarva because of bad weather. The aircraft ran out of fuel and crashed on a river bank about 40 km from Vanavera."
"Bahia Negra, Paraguay",Paraguay,1994,Sep,Wednesday,TAM Paraguay,Bahia Negra - Asuncion,Douglas C-47D,27.0,1.0,0.0,26.0,1.0,27.0,Crashed after experiencing engine failure.
"Chaibukha, Russia",Russia,1994,Sep,Friday,Arsenyev Aviation Production Association,Chaibukha - Provedenia,Antonov AN-8,20.0,8.0,0.0,12.0,8.0,20.0,"The cargo plane failed to gain altitude, overran the runway and crashed. Crew error."
"Mitu, Colombia",Colombia,1994,Oct,Saturday,SELVA,Villavicencio - Mitu,Antonov AN-32B,10.0,10.0,0.0,0.0,10.0,10.0,"The cargo plane landed short of the runway bounced, collapsed the landing gear, veered off the runway and crashed into another plane and vehicles."
"Krakas Mountains, near Natanz , Iran",No Data,1994,Oct,Wednesday,Iran Asseman Airlines,Isfahan - Terhan,Fokker F-28 Fellowship 1000,66.0,66.0,0.0,0.0,66.0,66.0,"Thirty-five minutes after taking off from Isfahan, the aircraft made an uncontrolled descent after losing power in both engines and crashed into a mountain."
"Near Formoso do Aragala, Brazil",Brazil,1994,Oct,Friday,Military - Brazilian Air Force,Rio de Janeiro - Belem,Lockheed C-130E,21.0,21.0,0.0,0.0,21.0,21.0,"Exploded in mid air while en route, 60 km northeast of Brasilia. A load of munitions being carried on the aircraft exploded."
"Near Cuito, Angola",Angola,1994,Oct,Wednesday,Military - Angolan Air Force,No Data,Mil Mi-8MTV (helicopter),22.0,22.0,0.0,0.0,22.0,22.0,Shot down by rebel forces.
"Near Ust'-Ilimsk, Russia",Russia,1994,Oct,Saturday,Aeronica,Yushno - Ust Ilimsk,Antonov AN-12A,23.0,23.0,0.0,0.0,23.0,23.0,The cargo plane suddenly pitched down and collided with a hill. Icing.
"Batagaj, Russia",Russia,1994,Oct,Saturday,Yakutavia,No Data,Antonov AN-2,19.0,7.0,0.0,12.0,7.0,19.0,Pitched up and crashed on takeoff. Overweight and improperly loaded.
"Roselawn, Indiana",USA,1994,Oct,Monday,American Eagle,Indianapolis - Chicago,ATR-72-212,68.0,68.0,0.0,0.0,68.0,68.0,"The aircraft was in a holding pattern and was descending to a newly assigned altitude of 8,000 feet when it experienced an uncommanded roll and excursion and crashed during a rapid descent. Icing. The design of the rubber de-icing boot was insufficient to deal with icing on the wings. Sudden and unexpected aileron hinge movement reversal, that occurred after a ridge of ice accreted beyond the deice boots while the airplane was in a holding pattern during which it intermittently encountered supercooled cloud and drizzle/rain drops, the size and water content of which exceeded those described in the icing certificication envelope. The airplane was susceptible to this loss of control and the crew was unable to recover. Contributing factor was the French Directorate General for Civil Aviation's inadequate oversight of the ATR42 and ATR 72, and its failure to take the necessary corrective action to ensure continued airworthiness in icing conditions and failure to provide the FAA with timely airworthiness information developed from previous ATR incidents and accidents in icing conditions."
"Off Cozumel, Mexico",Mexico,1994,Nov,Tuesday,Transportes Aereos Pegaso,Cozumel - Chichen Itza,Bell 212,14.0,14.0,0.0,0.0,14.0,14.0,Crashed into the sea off of Cozumel while en route in poor weather condtions.  Fuel exhaustion.
"Near Nabire, Indonesia",Indonesia,1994,Nov,Friday,Trigana Air Service,Nabire - Obano,de Havilland Canada DHC-6 Twin Otter 100,4.0,4.0,0.0,0.0,4.0,4.0,"The cargo plane crashed into a mountain a 4,000 ft."
"Saposa, Peru",Peru,1994,Nov,Saturday,SA Amazonica,Trujillo - Saposa,Yakovlev YAK-40,30.0,6.0,0.0,24.0,6.0,30.0,"The pilot delayed landing to avoid a pedestrian on the runway, overran the runway and crashed into Saposoa River breaking up."
"Avenal, California",USA,1994,Nov,Wednesday,Ameriflight,Burbank - Oakland,Beechcraft C99,1.0,1.0,0.0,0.0,1.0,1.0,"While en route, the cargo plane made an uncontrolled descent and crashed. Loss of aircraft control at night by the pilot for unknown reasons."
Papua New Guinea,No Data,1994,Nov,Tuesday,Southwest Air,Selbang - Bolvovip,Britten Norman BN-2A Trislander,7.0,7.0,0.0,0.0,7.0,7.0,Crashed into a mountain in poor weather conditions.
"Bridgeton, Missouri",USA,1994,Nov,Tuesday,Trans World Airlines / Private,No Data,McDonnell Douglas DC-9-82 / Cessna 441,142.0,2.0,0.0,140.0,2.0,142.0,"During its takeoff roll, the DC-9 collided with the Cessna, which was waiting for clearance to take off.  The ground collision took place in the fog. The Cessna pilot mistakenly thought he had clearance to enter the runway. Two aboard the Cessna were killed, none were killed aboard the DC-9."
"Near Cuito, Angola",Angola,1994,Nov,Friday,Military - Angolan Air Force,No Data,Mil Mi-17 (helicopter),22.0,22.0,0.0,0.0,22.0,22.0,Shot down by UNITA rebel forces.
Pacific Ocean,No Data,1994,Dec,Saturday,Philippine Air Lines,Manila - Cebu - Tokyo,Boeing B-747-200,293.0,1.0,0.0,292.0,1.0,293.0,"An explosive device detonated at FL 300 under a seat in the passenger cabin blowing a two square foot hole in the cabin floor and killing one passenger in seat 26K. The bomb was placed on the plane by Ramzi Yousef, an Al-Qaeda terrorist, on the flight from Manila to Cebu. The explosion occurred on the second journey of the flight from Cebu to Tokyo. The plane made a safe emergency landing at Okinawa in spite of damage to the flight controls."
"Morrisville, North Carolina",USA,1994,Dec,Tuesday,American Eagle,Greensboro - Raleigh,British Aerospace Jetstream 3201,20.0,15.0,0.0,5.0,15.0,20.0,"The aircraft crashed 4 miles SW of runway 5L while on an ILS approach. The captain associated the illumination of the left engine ignition light with an engine failure, suspected an engine flame out and decided to execute a missed approach. This eventually led to a stall and the plane crashed 4 miles SW of the runway threshold. The captain's improper assumption that an engine had failed. The captain's subsequent failure to follow approved procedures for engine failure, single-engine approach, go-around, and stall recovery. Contributing to the cause of the accident was the failure of American Eagle management to identify, document, monitor and remedy deficiencies in pilot performance and training."
"Lobito, Angola",Angola,1994,Dec,Thursday,SL Aviation Services,No Data,Douglas DC-3,2.0,2.0,0.0,0.0,2.0,2.0,"The cargo plane lifted off the runway, stalled and hit tail first back on the runway breaking apart."
"Cerro Aicha, Venezuela",Venezuela,1994,Dec,Saturday,Servivensa,No Data,Douglas C-47A-10-DK,9.0,7.0,0.0,2.0,7.0,9.0,The cargo plane hit trees and crashed short of the runway while attempting to land.
"Papua, New Guinea",New Guinea,1994,Dec,Saturday,Missionary Aviation Fellowship,Tabubil - Selbang,de Havilland Canada DHC-6 Twin Otter 200,28.0,28.0,0.0,0.0,28.0,28.0,"The chartered flight struck a cliff at 6,400 ft. during a flight from a copper and gold mine."
"Coventry, England",England,1994,Dec,Wednesday,Phoenix Aviation,East Midlands - Coventry,Boeing 737-2D6C,5.0,5.0,0.0,0.0,5.0,5.0,After a go-around the plane struck a transmission tower and crashed. The crew allowed the aircraft to descend significantly below the normal approach glide path  in conditions of patchyfog.
"Algiers Airport, Algeria",Algeria,1994,Dec,Monday,Air France,Alger - Paris,Airbus A300B2-1C,239.0,3.0,0.0,236.0,3.0,239.0,The aircraft was hijacked by terrorists. Three passengers and four hijackers were killed when the plane was stormed.
"Near Van, Turkey",Turkey,1994,Dec,Thursday,Turkish Airlines (THY),Ankara - Van,Boeing B-737-4Y0,76.0,57.0,0.0,19.0,57.0,76.0,The aircraft crashed into a hill near the airport in driving snow after a fourth landing attempt. Controlled flight into terrain.
"Isfahan, Iran",Iran,1995,Jan,Thursday,Military - Iranian Air Force,Isfahan - Tehran,Lockheed 1329 Jetstar 8,12.0,12.0,0.0,0.0,12.0,12.0,The plane crashed after the pilot reported a loss of cabin pressure.
"Off Flores Island, Inodnesia",No Data,1995,Jan,Tuesday,Merpati Nusantara Airlines,Bima - Ruteng,de Havilland Canada DHC-6 Twin Otter 300,14.0,14.0,0.0,0.0,14.0,14.0,"The aircraft disappeared while en route from Bima, Sumbawa Island to Ruteng, Flores Island, and crashed into the Molo Strait. The accident occurred in daylight, in poor weather."
"Cartagena, Colombia",Colombia,1995,Jan,Wednesday,Intercontinental de Aviacion,Bogota - Cartagena,McDonnell Douglas DC-9-14,52.0,51.0,0.0,1.0,51.0,52.0,"While descending from FL 190, ground witnesses saw fire and sparks aboard the plane before it crashed and exploded. One nine-year-old girl survived. Her mother threw her out of the plane and she landed in some soft-water lilies. Possible electrical fire. Possible faulty altimeter."
"Los Angeles, California",USA,1995,Jan,Saturday,Air Taxi - Wolfe Air Aviation Ltd.,"Los Angeles, CA - Burbank, CA",Bell 206B,4.0,2.0,0.0,2.0,2.0,4.0,Took off and crashed into power lines in rain and fog. Continued VFR flight into IMC.
"Kathmandu, Nepal",Nepal,1995,Jan,Tuesday,Royal Nepal Airlines,Kathmandu - Rumjatar,de Havilland Canada DHC-6 Twin Otter 300,24.0,2.0,0.0,22.0,2.0,24.0,"The  captain decided to aborted the take-off. However, the aircraft was never brought to a stop and it continued  on overrunning the runway and crashing down a steep slope. Failure of the crew to follow the correct procedure to continue with the rejection of the take-off once that action had been initiated. Lack of crew coordination, insufficient emphasis on emergency training, inadequate enforcement of the requirements of the operations manual and a lack of supervision during loading preparation."
"Near Krasnoyarsk, Russia",Russia,1995,Jan,Friday,Abakan Airlines,Krasnoyarsk - Abakan,Let 410UVP,19.0,3.0,0.0,16.0,3.0,19.0,"While taking off the aircraft veered to the right and clipped some trees 2,000 ft. past the runway. Overloaded and possible fuel contamination."
"Le Bourget, France",France,1995,Jan,Friday,Leadair - Charter,Paris - Romania,Dassault Falcon 20E,10.0,10.0,0.0,0.0,10.0,10.0,"The plane flew into a flock of birds that were injested into the left engine.  The pilot soon after reported an engine fire and that he was returning to the airport.  However, control of the plane was lost and the aircraft crashed."
